4.510008 11862.709961 -1.#IND00 -1.#IND00 
4.520009 11862.709961 -1.#IND00 -1.#IND00 
4.530009 11862.709961 -1.#IND00 -1.#IND00 
4.540009 11862.709961 -1.#IND00 -1.#IND00 
4.550009 11862.709961 -1.#IND00 -1.#IND00 
4.560009 11862.709961 -1.#IND00 -1.#IND00 
4.570010 11862.709961 -1.#IND00 -1.#IND00 
4.580010 11862.709961 -1.#IND00 -1.#IND00 
4.590010 11862.709961 -1.#IND00 -1.#IND00 
4.600010 11862.709961 -1.#IND00 -1.#IND00 
4.610011 11862.709961 -1.#IND00 -1.#IND00 
4.620011 11862.709961 -1.#IND00 -1.#IND00 
4.630011 11862.709961 -1.#IND00 -1.#IND00 
4.640011 11862.709961 -1.#IND00 -1.#IND00 
4.650012 11862.709961 -1.#IND00 -1.#IND00 
4.660012 11862.709961 -1.#IND00 -1.#IND00 
4.670012 11862.709961 -1.#IND00 -1.#IND00 
4.680012 11862.709961 -1.#IND00 -1.#IND00 
4.690012 11862.709961 -1.#IND00 -1.#IND00 
4.700013 11862.709961 -1.#IND00 -1.#IND00 
4.710013 11862.709961 -1.#IND00 -1.#IND00 
4.720013 11862.709961 -1.#IND00 -1.#IND00 
4.730013 11862.709961 -1.#IND00 -1.#IND00 
4.740014 11862.709961 -1.#IND00 -1.#IND00 
4.750014 11862.709961 -1.#IND00 -1.#IND00 
4.760014 11862.709961 -1.#IND00 -1.#IND00 
4.770014 11862.709961 -1.#IND00 -1.#IND00 
4.780015 11862.709961 -1.#IND00 -1.#IND00 
4.790015 11862.709961 -1.#IND00 -1.#IND00 
4.800015 11862.709961 -1.#IND00 -1.#IND00 
4.810015 11862.709961 -1.#IND00 -1.#IND00 
4.820015 11862.709961 -1.#IND00 -1.#IND00 
4.830016 11862.709961 -1.#IND00 -1.#IND00 
4.840016 11862.709961 -1.#IND00 -1.#IND00 
4.850016 11862.709961 -1.#IND00 -1.#IND00 
4.860016 11862.709961 -1.#IND00 -1.#IND00 
4.870017 11862.709961 -1.#IND00 -1.#IND00 
4.880017 11862.709961 -1.#IND00 -1.#IND00 
4.890017 11862.709961 -1.#IND00 -1.#IND00 
4.900017 11862.709961 -1.#IND00 -1.#IND00 
4.910017 11862.709961 -1.#IND00 -1.#IND00 
4.920018 11862.709961 -1.#IND00 -1.#IND00 
4.930018 11862.709961 -1.#IND00 -1.#IND00 
4.940018 11862.709961 -1.#IND00 -1.#IND00 
4.950018 11862.709961 -1.#IND00 -1.#IND00 
4.960019 11862.709961 -1.#IND00 -1.#IND00 
4.970019 11862.709961 -1.#IND00 -1.#IND00 
4.980019 11862.709961 -1.#IND00 -1.#IND00 
